Kalangala,,"31,349","22,944","54,293","20,041",22.7
         Bujumba S ub County,,"6,743","4,813","11,556","4,453",19.3
                Bujumb a,,"1,096",874,"1,970",592,19.1
                Bunyam a,,"1,428",944,"2,372",962,16.2
                Bwende ro,,"2,214","1,627","3,841","1,586",19
                Mulaba na,,"2,005","1,368","3,373","1,313",21.9
,,,,,,
         Kalangala T own Council,,"2,623","2,357","4,980","1,604",29.4
                Kalanga la A,,680,590,"1,270",385,35.8
                Kalanga la B,,"1,943","1,767","3,710","1,219",27.4
,,,,,,
          Mugoye Su b County,,"6,777","5,447","12,224","3,811",23.9
                Bbeta,,"3,246","2,585","5,831","1,909",24.9
                Kagulub e,,"1,772","1,392","3,164","1,003",23.3
                Kayung a,,"1,759","1,470","3,229",899,22.6
,,,,,,
        Bubeke Sub  County,,"3,023","2,110","5,133","2,036",26.7
                Bubeke,,"2,275","1,554","3,829","1,518",28
                Jaana,,748,556,"1,304",518,23
,,,,,,
            Bufumira Sub County,,"6,019","4,273","10,292","3,967",22.8
                Bufumira,,"2,177","1,404","3,581","1,373",21.4
                Lulamba,,"3,842","2,869","6,711","2,594",23.5
,,,,,,
             Kyamus wa Sub County,,"2,733","1,998","4,731","1,820",20.3
                Buwang a,,"1,226",865,"2,091",770,19.5
                Buzingo,,"1,507","1,133","2,640","1,050",20.9
,,,,,,
          Maziga Su b County,,"3,431","1,946","5,377","2,350",20.8
                Buggala,,"2,190","1,228","3,418","1,484",21.4
                Butulum e,,"1,241",718,"1,959",866,19.9
,,,,,,
,,,,,,
Kampala District,,"712,762","794,318","1,507,080","414,406",30.3
          Central Div ision,,"37,435","37,733","75,168","23,142",32.7
                Bukesa,,"4,326","4,711","9,037","2,809",37
                Civic Ce ntre,,224,151,375,161,14.9
                Industri al Area,,383,262,645,259,13.9
                Kagugu be,,"2,983","3,246","6,229","2,608",42.7
                Kamwo kya Ii,,"9,041","9,599","18,640","5,869",32.5
                Kamwo kya I,,938,963,"1,901",536,20.5
                Kisenyi I,,561,559,"1,120",326,33.1
                Kisenyi Ii,,"4,134","4,195","8,329","2,107",40.9
                Kisenyi Iii,,"2,285","2,274","4,559","1,216",33.3
                Kololo I,,494,497,991,248,25
                Kololo Ii,,580,552,"1,132",322,18
                Kololo Iii,,574,442,"1,016",334,10.8
                Kololo I v,,955,962,"1,917",545,27.9
                Mengo,,"5,741","5,947","11,688","3,366",35.2
                Nakasero I,,352,266,618,250,21.6
                Nakasero Ii,,977,818,"1,795",537,25.3
                Nakasero Iii,,539,457,996,357,23.5
                Nakasero Iv,,509,284,793,310,10
                Nakivubo Shauriyaako,,687,461,"1,148",406,14.3
                Old Kampala,,"1,152","1,087","2,239",576,17.7
,,,,,,
          Kawempe Division,,"158,768","179,897","338,665","94,202",30.8
                Bwaise I,,"8,892","10,166","19,058","5,256",30.2
                Bwaise Ii,,"8,577","9,692","18,269","5,225",31.1
                Bwaise Iii,,"3,797","4,386","8,183","2,446",36.9
                Kanyan ya,,"11,959","14,885","26,844","7,086",29.7
                Kawem pe I,,"20,889","23,856","44,745","11,187",26.6
                Kawem pe Ii,,"10,720","12,519","23,239","5,895",27.6
                Kazo A ngola,,"8,610","9,988","18,598","5,150",28.1
                Kikaaya,,"14,527","17,158","31,685","8,332",27
                Komam boga,,"4,720","5,499","10,219","2,493",23.5
                Kyeban do,,"20,986","23,566","44,552","11,907",27.7
                Makerer e I,,"4,307","4,488","8,795","3,491",39.7
                Makerer e Ii,,"7,045","7,748","14,793","5,623",40.7
                Makerer e Iii,,"5,619","6,200","11,819","3,783",36
                Makerer e University,,"3,215","2,426","5,641",637,33.6
                Mperer we,,"2,705","3,287","5,992","1,500",29.4
                Mulago I,,"3,436","3,745","7,181","1,445",30.5
                Mulago Ii,,"6,810","7,683","14,493","4,769",38
                Mulago Iii,,"8,615","8,814","17,429","5,392",29.5
                Wande geya,,"3,339","3,791","7,130","2,585",42.2
,,,,,,
           Rubaga Di vision,,"176,762","206,454","383,216","105,212",30.5
                Busega,,"15,871","19,204","35,075","9,103",29.7
                Kabowa,,"18,318","21,337","39,655","10,726",27.2
                Kasubi,,"28,066","31,983","60,049","17,423",30.8
                Lubaga,,"9,832","12,512","22,344","5,903",37.6
                Lubya,,"30,881","35,371","66,252","17,551",25.2
                Lungujja,,"13,569","15,600","29,169","8,034",30.4
                Mutundwe,,"17,355","20,235","37,590","9,892",26.5
                Najjanankumbi I,,"5,482","6,641","12,123","3,324",33.6
                Najjanankumbi Ii,,"5,291","6,279","11,570","3,083",32.3
                Namirembe,,"7,139","8,353","15,492","3,931",39.2
                Nankulabye I,,"9,348","10,471","19,819","6,351",37.5
                Nateete,,"10,157","11,704","21,861","6,393",32.4
                Ndeeba,,"5,453","6,764","12,217","3,498",37.9
,,,,,,
           Makindye Division,,"186,368","206,640","393,008","107,997",30.5
                Bukasa,,"14,387","15,019","29,406","7,370",26.5
                Buziga,,"7,443","8,534","15,977","3,837",31.5
                Ggaba,,"11,264","13,144","24,408","6,261",35.1
                Kabalag ala,,"8,219","8,207","16,426","5,102",29.4
                Kansan ga,,"11,120","11,767","22,887","6,659",32.2
                Katwe I,,"3,796","4,071","7,867","2,234",36.3
                Katwe Ii,,"6,253","7,239","13,492","3,729",35.3
                Kibuli,,"12,857","13,333","26,190","7,257",26.8
                Kibuye I,,"12,526","13,758","26,284","8,353",35.5
                Kibuye Ii,,"4,320","4,731","9,051","2,666",36.9
                Kisugu,,"9,400","9,835","19,235","5,223",27.8
                Lukuli,,"14,281","16,487","30,768","7,843",29.9
                Luwafu,,"8,858","10,713","19,571","5,223",30.6
                Makindy e I,,"10,811","11,502","22,313","6,457",26.8
                Makindy e Ii,,"6,935","8,849","15,784","4,565",37.2
                Nsamby a Central,,"17,269","19,461","36,730","10,039",31.1
                Nsamby a Estate,,256,269,525,130,24.6
                Nsamby a Police Barracks,,"3,644","3,868","7,512","1,700",20.2
                Salaam a,,"15,464","17,666","33,130","8,982",26.7
                Wabigal o,,"7,166","8,099","15,265","4,317",27.6
                Nsamby a Railway,,99,88,187,50,22
,,,,,,
           Nakawa Di vision,,"153,429","163,594","317,023","83,853",28.6
                Banda,,"9,991","10,585","20,576","6,260",31.5
                Bugolobi,,"2,373","2,650","5,023","1,279",23.6
                Bukoto I,,"10,768","12,277","23,045","6,386",30.8
                Bukoto I i,,"10,326","12,447","22,773","6,414",33.2
                Butabik a,,"9,398","10,152","19,550","5,073",25.8
                Itek,,309,262,571,6,50
                Kiswa,,"1,789","2,130","3,919","1,506",45
                Kiwatule,,"7,637","9,278","16,915","4,497",32.2
                Kyambo go,,841,911,"1,752",574,38
                Kyanja,,"11,266","13,105","24,371","6,072",24.4
                Luzira,,"9,213","10,305","19,518","5,315",30.7
                Luzira P risons,,"9,969","3,834","13,803","1,344",19
                Mbuya I,,"12,600","12,844","25,444","7,177",25.4
                Mbuya Ii,,"6,050","6,502","12,552","3,308",25.7
                Mutung o,,"30,000","34,663","64,663","17,343",28.4
                Nabisun sa,,195,235,430,106,26.4
                Naguru I,,"2,330","2,584","4,914","1,328",26.2
                Naguru Ii,,"13,565","13,212","26,777","7,023",22.7
                Nakawa,,720,881,"1,601",688,51.3
                Nakawa  Institute,,93,266,359,42,42.9
                Ntinda,,"2,448","2,809","5,257","1,356",33.6
                Upk,,598,594,"1,192",173,28.9
                Upper E state,,950,"1,068","2,018",583,25.9
,,,,,,
,,,,,,
,,,,,,
Kiboga District,,"75,847","72,371","148,218","34,010",26.6
            Bukomer o Sub County,,"7,956","7,125","15,081","3,387",27.6
                Kagogo,,"1,815","1,756","3,571",772,26.8
                Kikooba,,"1,866","1,378","3,244",704,19.9
                Kyoomy a,,"1,198","1,187","2,385",545,35.8
                Mataagi,,"1,163","1,013","2,176",521,29.4
                Mwezi,,"1,914","1,791","3,705",845,28.5
,,,,,,
            Bukomer o Town Council,,"7,099","7,083","14,182","3,161",31.5
                Kakuny u,,"3,435","3,605","7,040","1,707",30.3
                Kateera,,"1,957","2,000","3,957",789,33.8
                Kijjojolo,,737,683,"1,420",332,30.7
                Mataagi,,970,795,"1,765",333,33
,,,,,,
            Ddwaniro Sub County,,"6,678","5,432","12,110","2,380",20.5
                Kakinzi,,"1,626","1,048","2,674",477,17.6
                Kalokol a,,"2,285","2,183","4,468",934,24.9
                Katalam a,,"1,380","1,046","2,426",419,14.1
                Lwanko nge,,"1,387","1,155","2,542",550,20.2
,,,,,,
            Kapeke S ub County,,"8,161","7,411","15,572","3,192",26.1
                Kagobe,,"1,050","1,090","2,140",487,27.9
                Kasega,,"3,310","3,186","6,496","1,431",28.2
                Kayeera,,"1,610","1,375","2,985",494,24.3
                Kyayim ba,,"2,191","1,760","3,951",780,22.3
,,,,,,
            Kibiga Su b County,,"13,131","12,554","25,685","5,898",24
                Ddegey a,,"1,522","1,466","2,988",703,22.5
                Kajjere,,"3,513","3,441","6,954","1,629",25.2
                Kibaale,,"1,941","1,825","3,766",822,22
                Kibiga,,"1,569","1,513","3,082",727,29.7
                Kizinga,,"2,019","1,885","3,904",847,22.6
                Nkandw a,,"2,567","2,424","4,991","1,170",22.1
,,,,,,
            Kiboga Town Council,,"9,290","10,048","19,338","5,241",30.1
                Bamusuuta,,"3,194","3,573","6,767","1,923",33.5
                Buzibweera,,"2,083","2,244","4,327","1,172",25.4
                Kiboga Town,,"1,811","1,664","3,475",826,31
                Kirulumba,,"2,202","2,567","4,769","1,320",28.6
,,,,,,
            Lwamata Sub County,,"14,367","13,881","28,248","6,699",26.8
                Buninga,,"1,685","1,387","3,072",640,24.4
                Kasejjer e,,"2,246","2,049","4,295","1,108",18.3
                Kisagazi,,"1,837","1,785","3,622",791,24.7
                Kisweek a,,"1,438","1,289","2,727",599,23.5
                Kyekum bya,,"1,492","1,467","2,959",753,27.9
                Lwamat a,,"3,261","3,627","6,888","1,721",32.8
                Nsala,,"1,568","1,472","3,040",673,26
                Ssinde,,840,805,"1,645",414,37
,,,,,,
            Muwanga Sub County,,"9,165","8,837","18,002","4,052",24.6
                Bikko,,779,624,"1,403",283,25.4
                Muwan ga,,"1,856","1,743","3,599",800,22.5
                Nabwen do,,"3,085","3,043","6,128","1,443",27.4
                Nakase ngere,,"2,414","2,425","4,839","1,111",24
                Nakaso zi,,"1,031","1,002","2,033",415,19.5
,,,,,,
,,,,,,
,,,,,,
Luwero District,,"226,805","230,153","456,958","105,209",29.2
Bamunanika Sub  County,,"14,475","14,300","28,775","6,640",28.9
                Kibanyi,,"2,001","1,865","3,866",910,27.4
                Kibirizi,,"1,764","1,725","3,489",798,31.8
                Kiteme,,"2,727","2,679","5,406","1,201",28.6
                Kyampi si,,"4,019","4,101","8,120","1,958",29.9
                Mpolog oma,,"1,025",997,"2,022",437,29.5
                Sekamu li,,"2,939","2,933","5,872","1,336",26.8
,,,,,,
Kalangala Sub C ounty,,"22,175","22,395","44,570","10,241",30.2
                Busiika,,"4,284","4,569","8,853","2,280",29.9
                Busoke,,"1,542","1,548","3,090",683,29.6
